Sex,Age,Education,Food,MeanConsumption_total,5PercentileConsumption,50PercentileConsuption,95PercentileConsumption,ConsumptionDays,MeanConsumptiononConsumptionDays,5percentileConsumptiondays,50percentileConsumptiondays,95percentileConsumptiondays
Male,1 to 18 years,Education: intermediate,09. Eggs and egg products,7.8,0.0,0.0,45.0,19.7,39.7,3.7,45.0,100.0
Female,1 to 18 years,Education: intermediate,09. Eggs and egg products,9.1,0.0,0.0,48.6,21.1,43.2,4.4,45.0,100.0
Total male and female,19 to 79 years,Education: intermediate,09. Eggs and egg products,12.9,0.0,0.0,50.0,24.5,51.8,5.9,50.0,100.0
Male,19 to 79 years,Education: intermediate,09. Eggs and egg products,13.8,0.0,0.0,50.0,25.2,53.7,8.5,50.0,135.0
Female,19 to 79 years,Education: intermediate,09. Eggs and egg products,11.9,0.0,0.0,50.3,23.7,49.7,4.5,48.4,100.0
Total male and female,1 to 18 years,Education: higher,09. Eggs and egg products,9.1,0.0,0.0,45.0,22.8,39.9,3.8,45.0,99.0
Male,1 to 18 years,Education: higher,09. Eggs and egg products,8.6,0.0,0.0,45.0,21.5,39.6,3.8,45.0,100.0
Female,1 to 18 years,Education: higher,09. Eggs and egg products,9.7,0.0,0.0,47.5,24.1,40.3,3.8,45.0,96.4
Total male and female,19 to 79 years,Education: higher,09. Eggs and egg products,13.6,0.0,0.0,51.2,26.6,50.8,6.3,50.0,117.7
Male,19 to 79 years,Education: higher,09. Eggs and egg products,14.9,0.0,0.0,58.8,27.5,53.4,6.3,50.0,130.1
Female,19 to 79 years,Education: higher,09. Eggs and egg products,12.1,0.0,0.0,50.0,25.6,48.0,6.3,50.0,108.9
Total male and female,1 to 18 years,Education: lower,0901. Eggs,8.8,0.0,0.0,45.0,17.8,49.9,6.2,45.0,141.1
Male,1 to 18 years,Education: lower,0901. Eggs,9.2,0.0,0.0,67.5,16.3,56.5,5.1,45.0,150.0
Female,1 to 18 years,Education: lower,0901. Eggs,8.4,0.0,0.0,28.5,19.3,44.0,6.3,45.0,135.0
Total male and female,19 to 79 years,Education: lower,0901. Eggs,15.0,0.0,0.0,67.5,24.2,62.1,10.6,50.0,140.0
Male,19 to 79 years,Education: lower,0901. Eggs,18.0,0.0,0.0,86.9,25.1,72.3,12.4,50.0,150.0
Female,19 to 79 years,Education: lower,0901. Eggs,12.6,0.0,0.0,50.0,23.4,53.1,10.0,50.0,100.0
Total male and female,1 to 18 years,Education: intermediate,0901. Eggs,8.4,0.0,0.0,45.0,20.4,41.4,3.7,45.0,100.0
Male,1 to 18 years,Education: intermediate,0901. Eggs,7.8,0.0,0.0,45.0,19.7,39.7,3.7,45.0,100.0
Female,1 to 18 years,Education: intermediate,0901. Eggs,9.1,0.0,0.0,48.6,21.1,43.2,4.4,45.0,100.0
Total male and female,19 to 79 years,Education: intermediate,0901. Eggs,12.9,0.0,0.0,50.0,24.5,51.8,5.9,50.0,100.0
Male,19 to 79 years,Education: intermediate,0901. Eggs,13.8,0.0,0.0,50.0,25.2,53.7,8.5,50.0,135.0
Female,19 to 79 years,Education: intermediate,0901. Eggs,11.9,0.0,0.0,50.3,23.7,49.7,4.5,48.4,100.0
Total male and female,1 to 18 years,Education: higher,0901. Eggs,9.1,0.0,0.0,45.0,22.8,39.9,3.8,45.0,99.0
Male,1 to 18 years,Education: higher,0901. Eggs,8.6,0.0,0.0,45.0,21.5,39.6,3.8,45.0,100.0
Female,1 to 18 years,Education: higher,0901. Eggs,9.7,0.0,0.0,47.5,24.1,40.3,3.8,45.0,96.4
Total male and female,19 to 79 years,Education: higher,0901. Eggs,13.6,0.0,0.0,51.2,26.6,50.8,6.3,50.0,117.7
Male,19 to 79 years,Education: higher,0901. Eggs,14.9,0.0,0.0,58.8,27.5,53.4,6.3,50.0,130.1
Female,19 to 79 years,Education: higher,0901. Eggs,12.1,0.0,0.0,50.0,25.6,48.0,6.3,50.0,108.9
Total male and female,1 to 18 years,Education: lower,10. Fats and oils,17.3,2.7,15.1,39.3,93.0,18.6,1.8,15.5,44.3
Male,1 to 18 years,Education: lower,10. Fats and oils,19.0,1.2,16.3,42.9,93.8,20.1,1.5,16.2,53.8
Female,1 to 18 years,Education: lower,10. Fats and oils,15.5,3.5,14.8,30.5,92.2,16.9,2.5,15.0,35.5
Total male and female,19 to 79 years,Education: lower,10. Fats and oils,24.3,3.6,21.4,57.1,95.9,25.4,3.0,21.4,60.9
Male,19 to 79 years,Education: lower,10. Fats and oils,27.8,3.7,23.8,62.6,95.6,29.2,3.5,25.3,69.0
Female,19 to 79 years,Education: lower,10. Fats and oils,21.3,3.6,19.1,44.7,96.1,22.2,2.9,19.1,50.9
Total male and female,1 to 18 years,Education: intermediate,10. Fats and oils,17.1,1.6,14.6,40.3,92.3,18.5,1.7,15.4,46.9
Male,1 to 18 years,Education: intermediate,10. Fats and oils,18.5,1.8,16.3,46.9,92.8,19.9,1.5,16.6,49.8
Female,1 to 18 years,Education: intermediate,10. Fats and oils,15.6,1.3,13.4,38.1,91.8,17.0,1.8,14.0,43.0
Total male and female,19 to 79 years,Education: intermediate,10. Fats and oils,23.4,2.9,20.9,51.5,94.1,24.9,2.9,21.4,60.1
Male,19 to 79 years,Education: intermediate,10. Fats and oils,27.1,3.6,25.6,58.1,94.8,28.9,3.5,24.9,66.6
Female,19 to 79 years,Education: intermediate,10. Fats and oils,19.3,2.2,17.0,41.5,93.4,20.7,2.8,17.3,47.4
Total male and female,1 to 18 years,Education: higher,10. Fats and oils,16.3,1.6,13.7,37.2,93.3,17.5,1.8,14.6,42.4
Male,1 to 18 years,Education: higher,10. Fats and oils,17.8,1.4,14.4,42.1,92.8,19.3,1.7,16.0,48.5
Female,1 to 18 years,Education: higher,10. Fats and oils,14.7,1.9,13.1,32.1,93.8,15.6,1.8,13.4,36.6
Total male and female,19 to 79 years,Education: higher,10. Fats and oils,23.3,2.8,20.3,55.5,92.2,25.4,3.4,21.2,61.0
Male,19 to 79 years,Education: higher,10. Fats and oils,28.7,5.5,25.5,63.7,94.1,30.5,5.5,26.0,70.6
Female,19 to 79 years,Education: higher,10. Fats and oils,17.7,2.3,15.6,37.5,90.2,19.8,2.5,17.5,42.8
Total male and female,1 to 18 years,Education: lower,1000. Unclassified and combined fat,0.9,0.0,0.0,4.9,12.4,7.3,0.5,6.3,20.7
Male,1 to 18 years,Education: lower,1000. Unclassified and combined fat,0.9,0.0,0.0,5.5,10.5,8.8,0.5,7.4,24.0
Female,1 to 18 years,Education: lower,1000. Unclassified and combined fat,0.9,0.0,0.0,4.9,14.3,6.1,0.8,5.4,13.8
Total male and female,19 to 79 years,Education: lower,1000. Unclassified and combined fat,1.5,0.0,0.0,9.0,16.0,9.5,0.8,6.4,28.0
Male,19 to 79 years,Education: lower,1000. Unclassified and combined fat,1.9,0.0,0.0,10.7,20.8,9.5,1.5,5.3,28.0
Female,19 to 79 years,Education: lower,1000. Unclassified and combined fat,1.1,0.0,0.0,6.1,12.0,9.5,0.4,7.1,25.8
Total male and female,1 to 18 years,Education: intermediate,1000. Unclassified and combined fat,1.1,0.0,0.0,5.9,13.8,8.1,0.7,5.0,26.3
Male,1 to 18 years,Education: intermediate,1000. Unclassified and combined fat,1.4,0.0,0.0,7.4,14.1,9.7,0.5,6.1,33.9
Female,1 to 18 years,Education: intermediate,1000. Unclassified and combined fat,0.9,0.0,0.0,4.9,13.6,6.4,0.7,4.6,23.5
Total male and female,19 to 79 years,Education: intermediate,1000. Unclassified and combined fat,1.6,0.0,0.0,8.8,17.9,9.0,1.0,6.9,24.2
Male,19 to 79 years,Education: intermediate,1000. Unclassified and combined fat,2.0,0.0,0.0,10.6,21.0,9.7,1.1,7.1,36.0
Female,19 to 79 years,Education: intermediate,1000. Unclassified and combined fat,1.2,0.0,0.0,7.4,14.5,8.0,0.8,6.6,18.7
Total male and female,1 to 18 years,Education: higher,1000. Unclassified and combined fat,0.9,0.0,0.0,5.1,12.1,7.1,0.6,5.2,18.6
Male,1 to 18 years,Education: higher,1000. Unclassified and combined fat,0.9,0.0,0.0,5.1,11.5,7.6,1.1,5.2,21.5
Female,1 to 18 years,Education: higher,1000. Unclassified and combined fat,0.9,0.0,0.0,4.8,12.8,6.6,0.5,5.2,18.0
Total male and female,19 to 79 years,Education: higher,1000. Unclassified and combined fat,1.6,0.0,0.0,8.7,18.7,8.7,1.0,6.8,23.3
Male,19 to 79 years,Education: higher,1000. Unclassified and combined fat,1.9,0.0,0.0,9.3,20.1,9.4,1.6,7.4,28.9
Female,19 to 79 years,Education: higher,1000. Unclassified and combined fat,1.3,0.0,0.0,7.7,17.3,7.8,0.7,6.2,20.3
Total male and female,1 to 18 years,Education: lower,1001. Vegetable oils,2.2,0.0,0.0,11.8,27.8,8.1,0.6,5.7,28.1
Male,1 to 18 years,Education: lower,1001. Vegetable oils,2.2,0.0,0.0,11.8,27.4,8.4,0.6,5.7,30.7
Female,1 to 18 years,Education: lower,1001. Vegetable oils,2.2,0.0,0.0,14.0,28.3,7.9,1.1,5.5,23.3
Total male and female,19 to 79 years,Education: lower,1001. Vegetable oils,3.1,0.0,0.5,13.6,33.0,9.4,1.0,6.3,30.9
Male,19 to 79 years,Education: lower,1001. Vegetable oils,3.6,0.0,0.8,16.6,34.4,10.7,1.0,7.1,35.2
Female,19 to 79 years,Education: lower,1001. Vegetable oils,2.6,0.0,0.3,11.7,31.8,8.2,0.9,5.8,24.3
Total male and female,1 to 18 years,Education: intermediate,1001. Vegetable oils,2.0,0.0,0.0,9.1,29.4,6.7,0.5,4.3,22.2
Male,1 to 18 years,Education: intermediate,1001. Vegetable oils,2.2,0.0,0.0,11.4,28.4,7.7,0.7,4.9,23.6
Female,1 to 18 years,Education: intermediate,1001. Vegetable oils,1.7,0.0,0.0,8.7,30.3,5.7,0.5,3.6,18.9
Total male and female,19 to 79 years,Education: intermediate,1001. Vegetable oils,3.6,0.0,1.3,14.9,36.2,10.0,1.2,7.0,27.5
Male,19 to 79 years,Education: intermediate,1001. Vegetable oils,3.9,0.0,1.8,15.7,37.9,10.3,1.5,7.2,27.0
Female,19 to 79 years,Education: intermediate,1001. Vegetable oils,3.3,0.0,0.7,14.0,34.4,9.7,1.2,6.2,30.0
Total male and female,1 to 18 years,Education: higher,1001. Vegetable oils,2.0,0.0,0.6,8.6,36.1,5.5,0.5,3.7,17.3
Male,1 to 18 years,Education: higher,1001. Vegetable oils,2.0,0.0,0.5,8.6,35.6,5.7,0.6,4.0,17.7
Female,1 to 18 years,Education: higher,1001. Vegetable oils,2.0,0.0,0.6,8.6,36.6,5.3,0.5,3.5,16.4
Total male and female,19 to 79 years,Education: higher,1001. Vegetable oils,5.1,0.0,2.5,21.0,45.0,11.3,1.3,8.0,34.8
Male,19 to 79 years,Education: higher,1001. Vegetable oils,5.8,0.0,3.5,22.0,47.8,12.1,1.2,8.5,37.3
Female,19 to 79 years,Education: higher,1001. Vegetable oils,4.4,0.0,1.6,21.0,42.1,10.4,1.3,7.4,31.0
Total male and female,1 to 18 years,Education: lower,1002. Butter,0.6,0.0,0.0,4.4,6.2,9.6,1.6,6.3,30.0
Male,1 to 18 years,Education: lower,1002. Butter,0.5,0.0,0.0,4.3,4.9,10.8,1.6,9.9,30.0
Female,1 to 18 years,Education: lower,1002. Butter,0.6,0.0,0.0,5.3,7.5,8.8,2.5,6.0,32.8
Total male and female,19 to 79 years,Education: lower,1002. Butter,1.7,0.0,0.0,10.8,12.3,14.1,1.1,9.0,38.5
Male,19 to 79 years,Education: lower,1002. Butter,2.0,0.0,0.0,11.4,10.3,18.9,0.9,12.3,54.0
Female,19 to 79 years,Education: lower,1002. Butter,1.6,0.0,0.0,10.8,13.9,11.1,1.4,8.7,30.0
Total male and female,1 to 18 years,Education: intermediate,1002. Butter,0.9,0.0,0.0,5.8,8.6,10.0,1.0,6.0,36.0
Male,1 to 18 years,Education: intermediate,1002. Butter,0.8,0.0,0.0,5.0,8.4,9.4,0.8,6.7,34.0
Female,1 to 18 years,Education: intermediate,1002. Butter,0.9,0.0,0.0,5.8,8.8,10.5,1.4,6.0,36.0
Total male and female,19 to 79 years,Education: intermediate,1002. Butter,2.4,0.0,0.0,13.7,15.6,15.4,1.9,11.6,43.7
Male,19 to 79 years,Education: intermediate,1002. Butter,2.8,0.0,0.0,16.4,15.0,19.4,2.0,14.0,60.0
Female,19 to 79 years,Education: intermediate,1002. Butter,1.8,0.0,0.0,10.9,16.1,11.3,1.7,8.8,36.0
Total male and female,1 to 18 years,Education: higher,1002. Butter,1.4,0.0,0.0,9.0,11.7,11.7,1.1,9.0,36.0
Male,1 to 18 years,Education: higher,1002. Butter,1.5,0.0,0.0,10.0,11.5,12.8,0.9,9.6,37.0
Female,1 to 18 years,Education: higher,1002. Butter,1.2,0.0,0.0,7.8,11.8,10.6,1.1,7.0,30.0
Total male and female,19 to 79 years,Education: higher,1002. Butter,3.5,0.0,0.0,18.0,20.9,16.7,2.7,12.0,45.0
Male,19 to 79 years,Education: higher,1002. Butter,4.1,0.0,0.0,26.0,22.2,18.8,3.0,12.0,54.0
Female,19 to 79 years,Education: higher,1002. Butter,2.8,0.0,0.0,16.2,19.5,14.2,2.7,12.0,30.0
Total male and female,1 to 18 years,Education: lower,1003. Margarines and cooking fats,13.4,0.0,10.9,37.7,79.8,16.7,1.5,13.8,42.0
Male,1 to 18 years,Education: lower,1003. Margarines and cooking fats,15.0,0.0,12.7,39.3,79.4,18.7,1.5,15.4,45.0
Female,1 to 18 years,Education: lower,1003. Margarines and cooking fats,11.7,0.0,9.8,26.9,80.3,14.6,1.8,12.0,34.1
Total male and female,19 to 79 years,Education: lower,1003. Margarines and cooking fats,17.7,0.0,14.1,48.9,80.7,22.0,2.9,18.0,54.0
Male,19 to 79 years,Education: lower,1003. Margarines and cooking fats,20.1,0.0,15.8,54.8,81.0,24.9,2.9,19.9,63.5
Female,19 to 79 years,Education: lower,1003. Margarines and cooking fats,15.8,0.0,12.6,40.3,80.4,19.7,2.9,16.9,47.4
Total male and female,1 to 18 years,Education: intermediate,1003. Margarines and cooking fats,13.0,0.0,10.8,34.2,77.2,16.8,2.0,13.7,42.1
Male,1 to 18 years,Education: intermediate,1003. Margarines and cooking fats,14.1,0.0,12.1,37.3,78.4,17.9,1.8,14.9,45.0
Female,1 to 18 years,Education: intermediate,1003. Margarines and cooking fats,11.8,0.0,9.8,31.4,76.0,15.6,2.1,12.5,36.8
Total male and female,19 to 79 years,Education: intermediate,1003. Margarines and cooking fats,15.7,0.0,13.0,41.9,77.2,20.4,2.3,17.2,50.6
Male,19 to 79 years,Education: intermediate,1003. Margarines and cooking fats,18.2,0.0,16.0,50.0,78.6,23.4,2.5,19.4,56.9
Female,19 to 79 years,Education: intermediate,1003. Margarines and cooking fats,13.0,0.0,10.8,34.9,75.7,17.1,2.0,14.1,40.1
Total male and female,1 to 18 years,Education: higher,1003. Margarines and cooking fats,12.0,0.0,9.3,33.2,75.6,15.9,1.6,12.6,40.3
Male,1 to 18 years,Education: higher,1003. Margarines and cooking fats,13.3,0.0,10.0,37.5,74.8,18.0,1.6,14.7,46.2
Female,1 to 18 years,Education: higher,1003. Margarines and cooking fats,10.5,0.0,9.0,27.0,76.5,13.8,1.5,12.0,33.7
Total male and female,19 to 79 years,Education: higher,1003. Margarines and cooking fats,13.0,0.0,9.0,41.0,63.4,20.7,2.7,17.7,53.7
Male,19 to 79 years,Education: higher,1003. Margarines and cooking fats,16.8,0.0,13.0,48.0,66.6,25.2,3.8,21.8,58.5
Female,19 to 79 years,Education: higher,1003. Margarines and cooking fats,9.1,0.0,6.0,26.1,60.1,15.4,1.5,12.0,36.0
Total male and female,1 to 18 years,Education: lower,1004. Other animal fats (incl fish oil),0.2,0.0,0.0,0.0,1.2,17.5,6.2,23.1,24.0
Male,1 to 18 years,Education: lower,1004. Other animal fats (incl fish oil),0.3,0.0,0.0,0.0,1.6,20.7,9.9,24.0,24.0
Female,1 to 18 years,Education: lower,1004. Other animal fats (incl fish oil),0.1,0.0,0.0,0.0,0.9,11.2,6.2,14.7,14.7
Total male and female,19 to 79 years,Education: lower,1004. Other animal fats (incl fish oil),0.2,0.0,0.0,0.0,1.4,15.1,1.7,12.5,33.6
Male,19 to 79 years,Education: lower,1004. Other animal fats (incl fish oil),0.2,0.0,0.0,0.0,1.3,15.8,3.5,17.2,33.6
Female,19 to 79 years,Education: lower,1004. Other animal fats (incl fish oil),0.2,0.0,0.0,0.0,1.4,14.5,1.7,12.5,28.0
Total male and female,1 to 18 years,Education: intermediate,1004. Other animal fats (incl fish oil),0.1,0.0,0.0,0.0,1.1,11.9,1.5,11.6,32.2
Male,1 to 18 years,Education: intermediate,1004. Other animal fats (incl fish oil),0.1,0.0,0.0,0.0,1.1,8.1,0.2,7.4,17.2
Female,1 to 18 years,Education: intermediate,1004. Other animal fats (incl fish oil),0.2,0.0,0.0,0.0,1.2,15.6,6.3,16.3,32.2
Total male and female,19 to 79 years,Education: intermediate,1004. Other animal fats (incl fish oil),0.1,0.0,0.0,0.0,0.8,10.1,1.7,6.8,20.3
Male,19 to 79 years,Education: intermediate,1004. Other animal fats (incl fish oil),0.1,0.0,0.0,0.0,0.9,10.2,0.4,6.8,20.3
Female,19 to 79 years,Education: intermediate,1004. Other animal fats (incl fish oil),0.1,0.0,0.0,0.0,0.7,9.9,4.3,6.3,20.0
Total male and female,1 to 18 years,Education: higher,1004. Other animal fats (incl fish oil),0.1,0.0,0.0,0.0,0.6,12.1,2.5,6.4,36.0
Male,1 to 18 years,Education: higher,1004. Other animal fats (incl fish oil),0.1,0.0,0.0,0.0,0.8,10.4,1.9,5.5,36.0
Female,1 to 18 years,Education: higher,1004. Other animal fats (incl fish oil),0.1,0.0,0.0,0.0,0.4,15.3,2.6,17.2,22.6
Total male and female,19 to 79 years,Education: higher,1004. Other animal fats (incl fish oil),0.1,0.0,0.0,0.0,0.7,10.4,1.5,12.5,21.0
Male,19 to 79 years,Education: higher,1004. Other animal fats (incl fish oil),0.1,0.0,0.0,0.0,0.6,8.7,0.1,7.4,19.3
Female,19 to 79 years,Education: higher,1004. Other animal fats (incl fish oil),0.1,0.0,0.0,0.0,0.8,11.7,5.1,12.5,21.6
Total male and female,1 to 18 years,Education: lower,11. Sugar and confectionery,35.9,1.5,27.0,89.2,83.0,43.1,4.1,30.1,120.8
Male,1 to 18 years,Education: lower,11. Sugar and confectionery,38.2,0.0,27.7,137.3,81.0,47.2,4.1,33.1,149.9
Female,1 to 18 years,Education: lower,11. Sugar and confectionery,33.5,2.7,26.0,85.5,85.2,39.0,5.0,30.0,112.9
Total male and female,19 to 79 years,Education: lower,11. Sugar and confectionery,27.8,0.0,17.1,84.8,70.2,38.9,3.6,25.0,104.0
Male,19 to 79 years,Education: lower,11. Sugar and confectionery,31.5,0.0,19.5,88.5,71.4,43.7,3.6,30.0,113.0
Female,19 to 79 years,Education: lower,11. Sugar and confectionery,24.7,0.0,14.8,80.7,69.2,34.8,3.9,22.8,98.1
Total male and female,1 to 18 years,Education: intermediate,11. Sugar and confectionery,34.4,0.0,26.7,89.6,81.7,42.0,4.6,30.0,110.9
Male,1 to 18 years,Education: intermediate,11. Sugar and confectionery,38.7,0.0,29.1,108.8,82.6,46.5,4.8,34.0,134.5
Female,1 to 18 years,Education: intermediate,11. Sugar and confectionery,30.0,0.0,23.6,80.1,80.7,37.1,4.0,27.2,102.7
Total male and female,19 to 79 years,Education: intermediate,11. Sugar and confectionery,30.1,0.0,19.5,102.5,71.4,42.2,3.7,28.0,127.8
Male,19 to 79 years,Education: intermediate,11. Sugar and confectionery,34.7,0.0,22.0,103.4,72.7,48.3,4.8,33.0,131.0
Female,19 to 79 years,Education: intermediate,11. Sugar and confectionery,25.2,0.0,17.0,90.6,70.0,35.2,2.9,23.6,112.2
Total male and female,1 to 18 years,Education: higher,11. Sugar and confectionery,34.0,0.0,26.9,85.3,86.0,39.5,4.6,29.8,106.1
Male,1 to 18 years,Education: higher,11. Sugar and confectionery,37.4,0.0,30.7,94.5,86.8,43.0,4.9,31.2,118.0
Female,1 to 18 years,Education: higher,11. Sugar and confectionery,30.4,0.0,25.5,78.5,85.1,35.7,4.5,27.2,96.4
Total male and female,19 to 79 years,Education: higher,11. Sugar and confectionery,28.4,0.0,20.1,87.5,72.6,39.5,4.0,29.0,111.0
Male,19 to 79 years,Education: higher,11. Sugar and confectionery,33.1,0.0,23.8,94.1,74.5,44.8,4.8,34.2,117.2
Female,19 to 79 years,Education: higher,11. Sugar and confectionery,23.3,0.0,16.5,80.4,70.5,33.5,3.0,24.0,105.7
Total male and female,1 to 18 years,Education: lower,1100. Unclass or combined confectionery,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Male,1 to 18 years,Education: lower,1100. Unclass or combined confectionery,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Female,1 to 18 years,Education: lower,1100. Unclass or combined confectionery,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Total male and female,19 to 79 years,Education: lower,1100. Unclass or combined confectionery,1.1,0.0,0.0,0.0,1.3,77.7,8.0,28.0,500.0
Male,19 to 79 years,Education: lower,1100. Unclass or combined confectionery,2.3,0.0,0.0,0.0,2.2,97.5,8.0,32.0,500.0
Female,19 to 79 years,Education: lower,1100. Unclass or combined confectionery,0.1,0.0,0.0,0.0,0.6,13.3,7.0,16.0,20.0
Total male and female,1 to 18 years,Education: intermediate,1100. Unclass or combined confectionery,0.3,0.0,0.0,0.0,1.7,17.8,8.0,17.0,50.0
Male,1 to 18 years,Education: intermediate,1100. Unclass or combined confectionery,0.2,0.0,0.0,0.0,1.5,15.0,8.0,17.0,30.0
Female,1 to 18 years,Education: intermediate,1100. Unclass or combined confectionery,0.4,0.0,0.0,0.0,1.9,20.2,8.0,17.0,50.0
Total male and female,19 to 79 years,Education: intermediate,1100. Unclass or combined confectionery,0.3,0.0,0.0,0.0,1.1,27.3,10.0,17.0,102.0
Male,19 to 79 years,Education: intermediate,1100. Unclass or combined confectionery,0.1,0.0,0.0,0.0,0.7,17.7,10.0,10.0,36.0
Female,19 to 79 years,Education: intermediate,1100. Unclass or combined confectionery,0.5,0.0,0.0,0.0,1.5,32.5,10.0,30.0,102.0
Total male and female,1 to 18 years,Education: higher,1100. Unclass or combined confectionery,0.2,0.0,0.0,0.0,1.1,16.8,6.0,16.0,31.0
Male,1 to 18 years,Education: higher,1100. Unclass or combined confectionery,0.2,0.0,0.0,0.0,1.1,17.0,6.0,16.0,31.0
Female,1 to 18 years,Education: higher,1100. Unclass or combined confectionery,0.2,0.0,0.0,0.0,1.0,16.6,4.0,16.0,40.0
Total male and female,19 to 79 years,Education: higher,1100. Unclass or combined confectionery,0.3,0.0,0.0,0.0,0.6,41.5,10.0,25.0,100.0
Male,19 to 79 years,Education: higher,1100. Unclass or combined confectionery,0.1,0.0,0.0,0.0,0.5,22.4,9.0,25.0,32.0
Female,19 to 79 years,Education: higher,1100. Unclass or combined confectionery,0.4,0.0,0.0,0.0,0.6,60.5,10.0,66.7,100.0
Total male and female,1 to 18 years,Education: lower,"1101. Sugar,honey,jam,syrup,sweet sauce",7.2,0.0,0.0,38.8,32.5,22.5,2.0,12.1,72.5
Male,1 to 18 years,Education: lower,"1101. Sugar,honey,jam,syrup,sweet sauce",7.5,0.0,0.0,50.8,26.6,29.3,3.0,18.0,86.5
Female,1 to 18 years,Education: lower,"1101. Sugar,honey,jam,syrup,sweet sauce",6.8,0.0,1.8,32.6,38.7,17.5,1.9,8.1,57.8
Total male and female,19 to 79 years,Education: lower,"1101. Sugar,honey,jam,syrup,sweet sauce",13.6,0.0,4.8,53.2,49.8,27.0,3.0,18.3,75.0
Male,19 to 79 years,Education: lower,"1101. Sugar,honey,jam,syrup,sweet sauce",15.4,0.0,5.4,57.5,51.3,29.8,1.8,20.0,80.7
Female,19 to 79 years,Education: lower,"1101. Sugar,honey,jam,syrup,sweet sauce",12.2,0.0,4.6,48.3,48.5,24.7,3.0,18.0,72.0
Total male and female,1 to 18 years,Education: intermediate,"1101. Sugar,honey,jam,syrup,sweet sauce",6.6,0.0,1.3,28.1,36.5,17.8,1.8,11.3,56.3
Male,1 to 18 years,Education: intermediate,"1101. Sugar,honey,jam,syrup,sweet sauce",7.3,0.0,1.5,32.7,36.2,19.8,2.3,12.6,57.3
Female,1 to 18 years,Education: intermediate,"1101. Sugar,honey,jam,syrup,sweet sauce",5.8,0.0,1.1,26.5,36.7,15.8,1.5,9.7,51.1
Total male and female,19 to 79 years,Education: intermediate,"1101. Sugar,honey,jam,syrup,sweet sauce",13.1,0.0,5.4,50.8,48.0,27.1,3.5,18.8,76.9
Male,19 to 79 years,Education: intermediate,"1101. Sugar,honey,jam,syrup,sweet sauce",15.4,0.0,7.0,57.9,51.2,30.4,3.6,22.4,84.0
Female,19 to 79 years,Education: intermediate,"1101. Sugar,honey,jam,syrup,sweet sauce",10.6,0.0,2.8,37.8,44.5,23.0,3.0,15.6,61.0
Total male and female,1 to 18 years,Education: higher,"1101. Sugar,honey,jam,syrup,sweet sauce",7.4,0.0,1.8,31.0,40.4,18.3,1.8,10.8,58.8
Male,1 to 18 years,Education: higher,"1101. Sugar,honey,jam,syrup,sweet sauce",8.2,0.0,1.5,33.1,40.0,20.4,1.8,12.0,59.7
Female,1 to 18 years,Education: higher,"1101. Sugar,honey,jam,syrup,sweet sauce",6.6,0.0,1.8,28.0,40.8,16.1,1.7,10.0,51.2
Total male and female,19 to 79 years,Education: higher,"1101. Sugar,honey,jam,syrup,sweet sauce",11.0,0.0,3.5,46.9,45.9,23.9,2.6,17.0,71.0
Male,19 to 79 years,Education: higher,"1101. Sugar,honey,jam,syrup,sweet sauce",14.4,0.0,6.5,59.1,50.8,28.4,3.2,20.0,84.3
Female,19 to 79 years,Education: higher,"1101. Sugar,honey,jam,syrup,sweet sauce",7.3,0.0,1.9,28.4,40.6,18.0,1.8,12.0,53.6
Total male and female,1 to 18 years,Education: lower,110100. Unclassified and other types,0.7,0.0,0.0,0.0,0.4,150.0,150.0,150.0,150.0
Male,1 to 18 years,Education: lower,110100. Unclassified and other types,1.4,0.0,0.0,0.0,0.8,150.0,150.0,150.0,150.0
Female,1 to 18 years,Education: lower,110100. Unclassified and other types,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Total male and female,19 to 79 years,Education: lower,110100. Unclassified and other types,0.0,0.0,0.0,0.0,0.0,120.0,120.0,120.0,120.0
Male,19 to 79 years,Education: lower,110100. Unclassified and other types,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Female,19 to 79 years,Education: lower,110100. Unclassified and other types,0.1,0.0,0.0,0.0,0.1,120.0,120.0,120.0,120.0
Total male and female,1 to 18 years,Education: intermediate,110100. Unclassified and other types,0.0,0.0,0.0,0.0,0.1,13.4,13.4,13.4,13.4
Male,1 to 18 years,Education: intermediate,110100. Unclassified and other types,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Female,1 to 18 years,Education: intermediate,110100. Unclassified and other types,0.0,0.0,0.0,0.0,0.1,13.4,13.4,13.4,13.4
Total male and female,19 to 79 years,Education: intermediate,110100. Unclassified and other types,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Male,19 to 79 years,Education: intermediate,110100. Unclassified and other types,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Female,19 to 79 years,Education: intermediate,110100. Unclassified and other types,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Total male and female,1 to 18 years,Education: higher,110100. Unclassified and other types,0.0,0.0,0.0,0.0,0.0,27.0,27.0,27.0,27.0
