Method,Type,Parameter,Score
ReCiPe Midpoint (E) w/o LT (obsolete),urban land occupation w/o LT,ULOP w/o LT,1.991218449049989e-06
ReCiPe Midpoint (E) w/o LT (obsolete),water depletion w/o LT,WDP w/o LT,0.0010010160141042308
ReCiPe Midpoint (H) (obsolete),metal depletion,MDP,5.565245110873783e-06
ReCiPe Midpoint (H) (obsolete),agricultural land occupation,ALOP,1.8217309494262472e-05
ReCiPe Midpoint (H) (obsolete),climate change,GWP100,0.00017223507134318992
ReCiPe Midpoint (H) (obsolete),fossil depletion,FDP,5.023022374294465e-05
ReCiPe Midpoint (H) (obsolete),freshwater ecotoxicity,FETPinf,5.342880840090383e-06
ReCiPe Midpoint (H) (obsolete),freshwater eutrophication,FEP,1.6914327723845006e-07
ReCiPe Midpoint (H) (obsolete),human toxicity,HTPinf,0.00011956981368193659
ReCiPe Midpoint (H) (obsolete),ionising radiation,IRP_HE,9.30552556549911e-05
ReCiPe Midpoint (H) (obsolete),marine ecotoxicity,METPinf,4.919374326889468e-06
ReCiPe Midpoint (H) (obsolete),marine eutrophication,MEP,1.7172417569121873e-07
ReCiPe Midpoint (H) (obsolete),natural land transformation,NLTP,2.307255166140848e-08
ReCiPe Midpoint (H) (obsolete),ozone depletion,ODPinf,2.002902048111622e-11
ReCiPe Midpoint (H) (obsolete),particulate matter formation,PMFP,2.7904339230382157e-07
ReCiPe Midpoint (H) (obsolete),photochemical oxidant formation,POFP,4.161204790097833e-07
ReCiPe Midpoint (H) (obsolete),terrestrial acidification,TAP100,7.503245639170725e-07
ReCiPe Midpoint (H) (obsolete),terrestrial ecotoxicity,TETPinf,6.481607457144798e-09
ReCiPe Midpoint (H) (obsolete),urban land occupation,ULOP,1.991265236996335e-06
ReCiPe Midpoint (H) (obsolete),water depletion,WDP,0.0010010160264402642
ReCiPe Midpoint (H) w/o LT (obsolete),metal depletion w/o LT,MDP w/o LT,5.565245110873783e-06
ReCiPe Midpoint (H) w/o LT (obsolete),agricultural land occupation w/o LT,ALOP w/o LT,1.813522915387161e-05
ReCiPe Midpoint (H) w/o LT (obsolete),climate change w/o LT,GWP100 w/o LT,0.00017223498221726337
ReCiPe Midpoint (H) w/o LT (obsolete),fossil depletion w/o LT,FDP w/o LT,4.7033044446724596e-05
ReCiPe Midpoint (H) w/o LT (obsolete),freshwater ecotoxicity w/o LT,FETPinf w/o LT,4.240670326695118e-08
ReCiPe Midpoint (H) w/o LT (obsolete),freshwater eutrophication w/o LT,FEP w/o LT,1.835634599567254e-08
ReCiPe Midpoint (H) w/o LT (obsolete),human toxicity w/o LT,HTPinf w/o LT,1.575919456485434e-05
ReCiPe Midpoint (H) w/o LT (obsolete),ionising radiation w/o LT,IRP_HE w/o LT,3.0436726401578738e-05
ReCiPe Midpoint (H) w/o LT (obsolete),marine ecotoxicity w/o LT,METPinf w/o LT,1.0173951116925952e-07
ReCiPe Midpoint (H) w/o LT (obsolete),marine eutrophication w/o LT,MEP w/o LT,1.7589753785260983e-08
ReCiPe Midpoint (H) w/o LT (obsolete),natural land transformation w/o LT,NLTP w/o LT,2.2789494839256654e-08
ReCiPe Midpoint (H) w/o LT (obsolete),ozone depletion w/o LT,ODPinf w/o LT,2.002975450610936e-11
ReCiPe Midpoint (H) w/o LT (obsolete),particulate matter formation w/o LT,PMFP w/o LT,2.760523713063985e-07
ReCiPe Midpoint (H) w/o LT (obsolete),photochemical oxidant formation w/o LT,POFP w/o LT,4.161145628608576e-07
ReCiPe Midpoint (H) w/o LT (obsolete),terrestrial acidification w/o LT,TAP100 w/o LT,7.502821473039645e-07
ReCiPe Midpoint (H) w/o LT (obsolete),terrestrial ecotoxicity w/o LT,TETPinf w/o LT,5.991128943967174e-09
ReCiPe Midpoint (H) w/o LT (obsolete),urban land occupation w/o LT,ULOP w/o LT,1.991218449049989e-06
ReCiPe Midpoint (H) w/o LT (obsolete),water depletion w/o LT,WDP w/o LT,0.0010010160141042308
ReCiPe Midpoint (I) (obsolete),metal depletion,MDP,5.565245110873783e-06
ReCiPe Midpoint (I) (obsolete),agricultural land occupation,ALOP,1.8217309494262472e-05
ReCiPe Midpoint (I) (obsolete),climate change,GWP20,0.00018567254277099626
ReCiPe Midpoint (I) (obsolete),fossil depletion,FDP,5.023022374294465e-05
ReCiPe Midpoint (I) (obsolete),freshwater ecotoxicity,FETP100,2.521422394346606e-06
ReCiPe Midpoint (I) (obsolete),freshwater eutrophication,FEP,1.6914327723845006e-07
ReCiPe Midpoint (I) (obsolete),human toxicity,HTP100,7.014065605631622e-06
ReCiPe Midpoint (I) (obsolete),ionising radiation,IRP_I,6.734513689006975e-05
ReCiPe Midpoint (I) (obsolete),marine ecotoxicity,METP100,2.003444953293369e-06
ReCiPe Midpoint (I) (obsolete),marine eutrophication,MEP,1.7172417569121873e-07
ReCiPe Midpoint (I) (obsolete),natural land transformation,NLTP,2.307255166140848e-08
ReCiPe Midpoint (I) (obsolete),ozone depletion,ODPinf,2.002902048111622e-11
ReCiPe Midpoint (I) (obsolete),particulate matter formation,PMFP,2.7904339230382157e-07
ReCiPe Midpoint (I) (obsolete),photochemical oxidant formation,POFP,4.161204790097833e-07
ReCiPe Midpoint (I) (obsolete),terrestrial acidification,TAP20,7.196565826960554e-07
ReCiPe Midpoint (I) (obsolete),terrestrial ecotoxicity,TETP100,6.470141329604094e-09
ReCiPe Midpoint (I) (obsolete),urban land occupation,ULOP,1.991265236996335e-06
ReCiPe Midpoint (I) (obsolete),water depletion,WDP,0.0010010160264402642
TRACI (obsolete),environmental impact,acidification,4.228436145170584e-05
TRACI (obsolete),environmental impact,ecotoxicity,7.540171231233789e-05
TRACI (obsolete),environmental impact,eutrophication,2.181110309836113e-08
TRACI (obsolete),environmental impact,global warming,0.0001713945325111994
TRACI (obsolete),environmental impact,ozone depletion,7.893269323612544e-12
TRACI (obsolete),environmental impact,photochemical oxidation,3.381369873134155e-07
TRACI (obsolete),human health,carcinogenics,3.954042014030319e-07
TRACI (obsolete),human health,non-carcinogenics,0.0008223986322888101
TRACI (obsolete),human health,"respiratory effects, average",2.182235893166251e-07
USEtox (obsolete),ecotoxicity,total,0.0013678910231714782
USEtox (obsolete),human toxicity,carcinogenic,1.4919127086696346e-11
USEtox (obsolete),human toxicity,non-carcinogenic,5.969526856415184e-11
USEtox (obsolete),human toxicity,total,7.461439524551832e-11
USEtox w/o LT (obsolete),ecotoxicity w/o LT,total w/o LT,3.212687777048029e-05
USEtox w/o LT (obsolete),human toxicity w/o LT,carcinogenic w/o LT,1.4961171489510567e-12
USEtox w/o LT (obsolete),human toxicity w/o LT,non-carcinogenic w/o LT,1.9730867269718403e-11
USEtox w/o LT (obsolete),human toxicity w/o LT,total w/o LT,2.1226984187860625e-11
ReCiPe Midpoint (E) V1.13,freshwater ecotoxicity,FETPinf,5.3524843197094794e-06
ReCiPe Midpoint (E) V1.13,human toxicity,HTPinf,0.004776946167246856
ReCiPe Midpoint (E) V1.13,marine ecotoxicity,METPinf,0.004669329586073335
ReCiPe Midpoint (E) V1.13,terrestrial ecotoxicity,TETPinf,6.612361541774414e-08
ReCiPe Midpoint (H) V1.13,freshwater ecotoxicity,FETPinf,5.345654490098143e-06
ReCiPe Midpoint (H) V1.13,human toxicity,HTPinf,0.00011481953842305729
ReCiPe Midpoint (H) V1.13,marine ecotoxicity,METPinf,4.9059975498471494e-06
ReCiPe Midpoint (H) V1.13,terrestrial ecotoxicity,TETPinf,5.978686739448574e-09
ReCiPe Midpoint (I) V1.13,freshwater ecotoxicity,FETP100,5.345613533964753e-06
ReCiPe Midpoint (I) V1.13,human toxicity,HTP100,3.7516582446334034e-06
ReCiPe Midpoint (I) V1.13,marine ecotoxicity,METP100,3.0078326109459043e-06
ReCiPe Midpoint (I) V1.13,terrestrial ecotoxicity,TETP100,5.9672031718857945e-09
ILCD 2.0 2018 midpoint,ecosystem quality,freshwater ecotoxicity,5.478744274002307e-05
ILCD 2.0 2018 midpoint,human health,non-carcinogenic effects,1.972597507222379e-11
ILCD 2.0 2018 midpoint,human health,carcinogenic effects,1.6916894900608584e-12
ecological scarcity 2013,mineral resources,total,0.0016633923643658058
ecological scarcity 2013,total,total,0.1995369880927482
ecological scarcity 2013 no LT,mineral resources,total,0.0016633923643658058
ecological scarcity 2013 no LT,total,total,0.19377037642837547
cumulative exergy demand,minerals,"non-renewable material resources, minerals",1.0576436663696113e-05
ILCD 2.0 2018 midpoint,resources,minerals and metals,7.708343922686387e-10
ILCD 2.0 2018 midpoint no LT,resources,minerals and metals,7.708343922686387e-10
ReCiPe Midpoint (E) V1.13,metal depletion,MDP,3.822834032184116e-06
ReCiPe Midpoint (E) V1.13 no LT,metal depletion,MDP,3.822834032184116e-06
ReCiPe Midpoint (H) V1.13,metal depletion,MDP,3.822834032184116e-06
ReCiPe Midpoint (H) V1.13 no LT,metal depletion,MDP,3.822834032184116e-06
ReCiPe Midpoint (I) V1.13,metal depletion,MDP,3.822834032184116e-06
ILCD 2.0 2018 midpoint,climate change,climate change biogenic,1.1076375364803467e-06
ILCD 2.0 2018 midpoint,climate change,climate change fossil,0.000174494630620392
ILCD 2.0 2018 midpoint,climate change,climate change land use and land use change,3.959262117438892e-07
ILCD 2.0 2018 midpoint,climate change,climate change total,0.00017599819436861627
ILCD 2.0 2018 midpoint,ecosystem quality,freshwater and terrestrial acidification,9.822261234805708e-07
ILCD 2.0 2018 midpoint,ecosystem quality,freshwater eutrophication,1.6889550213904617e-07
ILCD 2.0 2018 midpoint,ecosystem quality,marine eutrophication,1.715193676048585e-07
ILCD 2.0 2018 midpoint,ecosystem quality,terrestrial eutrophication,1.6343700452087151e-06
ILCD 2.0 2018 midpoint,human health,ionising radiation,9.282547229170448e-05
ILCD 2.0 2018 midpoint,human health,ozone layer depletion,1.554556740809725e-11
ILCD 2.0 2018 midpoint,human health,photochemical ozone creation,4.153732422877127e-07
ILCD 2.0 2018 midpoint,human health,"respiratory effects, inorganics",3.3564889889370617e-12
ILCD 2.0 2018 midpoint,resources,dissipated water,8.748503047632633e-05
ILCD 2.0 2018 midpoint,resources,fossils,0.004015058650421607
ILCD 2.0 2018 midpoint,resources,land use,0.0018722445042045203
ILCD 2.0 2018 midpoint no LT,climate change,climate change biogenic,1.1076375364803467e-06
ILCD 2.0 2018 midpoint no LT,climate change,climate change fossil,0.00017449458594997398
ILCD 2.0 2018 midpoint no LT,climate change,climate change land use and land use change,3.959262117438892e-07
ILCD 2.0 2018 midpoint no LT,climate change,climate change total,0.00017599814969819822
ILCD 2.0 2018 midpoint no LT,ecosystem quality,freshwater and terrestrial acidification,9.82224265662993e-07
ILCD 2.0 2018 midpoint no LT,ecosystem quality,freshwater ecotoxicity,5.478677404183994e-05
ILCD 2.0 2018 midpoint no LT,ecosystem quality,freshwater eutrophication,1.8108626908391107e-08
ILCD 2.0 2018 midpoint no LT,ecosystem quality,marine eutrophication,1.3402211948046535e-07
ILCD 2.0 2018 midpoint no LT,ecosystem quality,terrestrial eutrophication,1.6343168206599399e-06
ILCD 2.0 2018 midpoint no LT,human health,carcinogenic effects,1.6916894883199573e-12
ILCD 2.0 2018 midpoint no LT,human health,ionising radiation,3.036589525088277e-05
ILCD 2.0 2018 midpoint no LT,human health,non-carcinogenic effects,1.9725975071258607e-11
ILCD 2.0 2018 midpoint no LT,human health,ozone layer depletion,1.5544227741562333e-11
ILCD 2.0 2018 midpoint no LT,human health,photochemical ozone creation,4.153697776011978e-07
ILCD 2.0 2018 midpoint no LT,human health,"respiratory effects, inorganics",3.0715864678730464e-12
ILCD 2.0 2018 midpoint no LT,resources,dissipated water,8.748326379577116e-05
ILCD 2.0 2018 midpoint no LT,resources,fossils,0.004015058650421607
ILCD 2.0 2018 midpoint no LT,resources,land use,0.0018722445042045203
IPCC 2013,climate change,GTP 100a,0.00016655672022237002
IPCC 2013,climate change,GTP 20a,0.00018554642218503135
IPCC 2013,climate change,GWP 100a,0.00017393040245441448
IPCC 2013,climate change,GWP 20a,0.00019048167564201203
IPCC 2013 no LT,climate change,GTP 100a,0.00016655668514324799
IPCC 2013 no LT,climate change,GTP 20a,0.00018554637929566777
IPCC 2013 no LT,climate change,GWP 100a,0.00017393036222096122
IPCC 2013 no LT,climate change,GWP 20a,0.00019048163441165355
ReCiPe Midpoint (E) V1.13,agricultural land occupation,ALOP,1.9317212464554903e-05
ReCiPe Midpoint (E) V1.13,climate change,GWP500,0.00016639659824055602
ReCiPe Midpoint (E) V1.13,fossil depletion,FDP,5.2164195201543e-05
ReCiPe Midpoint (E) V1.13,freshwater eutrophication,FEP,1.691432212263276e-07
ReCiPe Midpoint (E) V1.13,ionising radiation,IRP_HE,9.289251224505232e-05
ReCiPe Midpoint (E) V1.13,marine eutrophication,MEP,5.5862662341758776e-08
ReCiPe Midpoint (E) V1.13,natural land transformation,NLTP,-1.505541074202768e-08
ReCiPe Midpoint (E) V1.13,ozone depletion,ODPinf,1.9795529922425497e-11
ReCiPe Midpoint (E) V1.13,particulate matter formation,PMFP,2.7908160089312844e-07
ReCiPe Midpoint (E) V1.13,photochemical oxidant formation,POFP,4.143947556723805e-07
ReCiPe Midpoint (E) V1.13,terrestrial acidification,TAP500,8.075137238846762e-07
ReCiPe Midpoint (E) V1.13,urban land occupation,ULOP,1.598604700266124e-06
ReCiPe Midpoint (E) V1.13,water depletion,WDP,2.036904049413076e-06
ReCiPe Midpoint (E) V1.13 no LT,agricultural land occupation,ALOP,1.9317212464554903e-05
ReCiPe Midpoint (E) V1.13 no LT,climate change,GWP500,0.0001663965783126028
ReCiPe Midpoint (E) V1.13 no LT,fossil depletion,FDP,5.2164195201543e-05
ReCiPe Midpoint (E) V1.13 no LT,freshwater ecotoxicity,FETPinf,4.671553447702203e-08
ReCiPe Midpoint (E) V1.13 no LT,freshwater eutrophication,FEP,1.835634599567254e-08
ReCiPe Midpoint (E) V1.13 no LT,human toxicity,HTPinf,0.0003845811582085035
ReCiPe Midpoint (E) V1.13 no LT,ionising radiation,IRP_HE,3.0432935204230605e-05
ReCiPe Midpoint (E) V1.13 no LT,marine ecotoxicity,METPinf,0.0001129723675722748
ReCiPe Midpoint (E) V1.13 no LT,marine eutrophication,MEP,1.7638957334759977e-08
ReCiPe Midpoint (E) V1.13 no LT,natural land transformation,NLTP,-1.505541074202768e-08
ReCiPe Midpoint (E) V1.13 no LT,ozone depletion,ODPinf,1.9795529922425497e-11
ReCiPe Midpoint (E) V1.13 no LT,particulate matter formation,PMFP,2.760905798957054e-07
ReCiPe Midpoint (E) V1.13 no LT,photochemical oxidant formation,POFP,4.1439129098586574e-07
ReCiPe Midpoint (E) V1.13 no LT,terrestrial acidification,TAP500,8.074710304180059e-07
ReCiPe Midpoint (E) V1.13 no LT,terrestrial ecotoxicity,TETPinf,5.588263722005552e-08
ReCiPe Midpoint (E) V1.13 no LT,urban land occupation,ULOP,1.598604700266124e-06
ReCiPe Midpoint (E) V1.13 no LT,water depletion,WDP,2.0368629159899378e-06
ReCiPe Midpoint (H) V1.13,agricultural land occupation,ALOP,1.9317212464554903e-05
ReCiPe Midpoint (H) V1.13,climate change,GWP100,0.0001722274005761031
ReCiPe Midpoint (H) V1.13,fossil depletion,FDP,5.2164195201543e-05
ReCiPe Midpoint (H) V1.13,freshwater eutrophication,FEP,1.691432212263276e-07
ReCiPe Midpoint (H) V1.13,ionising radiation,IRP_HE,9.289251224505232e-05
ReCiPe Midpoint (H) V1.13,marine eutrophication,MEP,5.5862662341758776e-08
ReCiPe Midpoint (H) V1.13,natural land transformation,NLTP,-1.505541074202768e-08
ReCiPe Midpoint (H) V1.13,ozone depletion,ODPinf,1.9795529922425497e-11
ReCiPe Midpoint (H) V1.13,particulate matter formation,PMFP,2.7908160089312844e-07
ReCiPe Midpoint (H) V1.13,photochemical oxidant formation,POFP,4.143947556723805e-07
ReCiPe Midpoint (H) V1.13,terrestrial acidification,TAP100,7.5051560686076e-07
ReCiPe Midpoint (H) V1.13,urban land occupation,ULOP,1.598604700266124e-06
ReCiPe Midpoint (H) V1.13,water depletion,WDP,2.036904049413076e-06
ReCiPe Midpoint (H) V1.13 no LT,agricultural land occupation,ALOP,1.9317212464554903e-05
ReCiPe Midpoint (H) V1.13 no LT,climate change,GWP100,0.0001722273668049473
ReCiPe Midpoint (H) V1.13 no LT,fossil depletion,FDP,5.2164195201543e-05
ReCiPe Midpoint (H) V1.13 no LT,freshwater ecotoxicity,FETPinf,4.0152384162757114e-08
ReCiPe Midpoint (H) V1.13 no LT,freshwater eutrophication,FEP,1.835634599567254e-08
ReCiPe Midpoint (H) V1.13 no LT,human toxicity,HTPinf,1.18667589668013e-05
ReCiPe Midpoint (H) V1.13 no LT,ionising radiation,IRP_HE,3.0432935204230605e-05
ReCiPe Midpoint (H) V1.13 no LT,marine ecotoxicity,METPinf,9.806431801752925e-08
ReCiPe Midpoint (H) V1.13 no LT,marine eutrophication,MEP,1.7638957334759977e-08
ReCiPe Midpoint (H) V1.13 no LT,natural land transformation,NLTP,-1.505541074202768e-08
ReCiPe Midpoint (H) V1.13 no LT,ozone depletion,ODPinf,1.9795529922425497e-11
ReCiPe Midpoint (H) V1.13 no LT,particulate matter formation,PMFP,2.760905798957054e-07
ReCiPe Midpoint (H) V1.13 no LT,photochemical oxidant formation,POFP,4.1439129098586574e-07
ReCiPe Midpoint (H) V1.13 no LT,terrestrial acidification,TAP100,7.50473190247652e-07
ReCiPe Midpoint (H) V1.13 no LT,terrestrial ecotoxicity,TETPinf,5.656289748255777e-09
ReCiPe Midpoint (H) V1.13 no LT,urban land occupation,ULOP,1.598604700266124e-06
ReCiPe Midpoint (H) V1.13 no LT,water depletion,WDP,2.0368629159899378e-06
ReCiPe Midpoint (I) V1.13,agricultural land occupation,ALOP,1.9317212464554903e-05
ReCiPe Midpoint (I) V1.13,climate change,GWP20,0.00018564918246271632
ReCiPe Midpoint (I) V1.13,fossil depletion,FDP,5.2164195201543e-05
ReCiPe Midpoint (I) V1.13,freshwater eutrophication,FEP,1.691432212263276e-07
ReCiPe Midpoint (I) V1.13,ionising radiation,IRP_I,6.71836280138769e-05
ReCiPe Midpoint (I) V1.13,marine eutrophication,MEP,5.5862662341758776e-08
ReCiPe Midpoint (I) V1.13,natural land transformation,NLTP,-1.505541074202768e-08
ReCiPe Midpoint (I) V1.13,ozone depletion,ODPinf,1.9795529922425497e-11
ReCiPe Midpoint (I) V1.13,particulate matter formation,PMFP,2.7908160089312844e-07
ReCiPe Midpoint (I) V1.13,photochemical oxidant formation,POFP,4.143947556723805e-07
ReCiPe Midpoint (I) V1.13,terrestrial acidification,TAP20,7.198476256397429e-07
ReCiPe Midpoint (I) V1.13,urban land occupation,ULOP,1.598604700266124e-06
ReCiPe Midpoint (I) V1.13,water depletion,WDP,2.036904049413076e-06
cumulative energy demand,biomass,"renewable energy resources, biomass",0.00013320740929331407
cumulative energy demand,fossil,"non-renewable energy resources, fossil",0.0021122104722487343
cumulative energy demand,geothermal,"renewable energy resources, geothermal, converted",1.0358986517850862e-05
cumulative energy demand,nuclear,"non-renewable energy resources, nuclear",0.0016076743648227995
cumulative energy demand,primary forest,"non-renewable energy resources, primary forest",1.568934954659176e-08
cumulative energy demand,solar,"renewable energy resources, solar, converted",2.0261352561042237e-08
cumulative energy demand,water,"renewable energy resources, potential (in barrage water), converted",0.0002874952825576886
cumulative energy demand,wind,"renewable energy resources, kinetic (in wind), converted",0.00015244634784732872
cumulative exergy demand,biomass,"renewable energy resources, biomass",0.0001398677734061556
cumulative exergy demand,fossil,"non-renewable energy resources, fossil",0.0021175764498218056
cumulative exergy demand,nuclear,"non-renewable energy resources, nuclear",0.0016076743648227995
cumulative exergy demand,primary forest,"non-renewable energy resources, primary forest",1.6473816275794864e-08
cumulative exergy demand,solar,"renewable energy resources, solar, converted",1.884305802668976e-08
cumulative exergy demand,water,"renewable energy resources, potential (in barrage water), converted",0.0002874952825576886
cumulative exergy demand,water resources,"renewable material resources, water",0.05155935177095011
cumulative exergy demand,wind,"renewable energy resources, kinetic (in wind), converted",0.00015244634784732872
ecological footprint,total,CO2,0.00043180783085703636
ecological footprint,total,land occupation,3.0134218507729102e-05
ecological footprint,total,nuclear,0.00031504675856366764
ecological footprint,total,total,0.0007769888079284331
ecological scarcity 2013,POP into water,total,0.0003760941706264867
ecological scarcity 2013,carcinogenic substances into air,total,0.009835284316305115
ecological scarcity 2013,energy resources,total,0.013255636696961616
ecological scarcity 2013,global warming,total,0.07944212574897141
ecological scarcity 2013,heavy metals into air,total,0.00829675395960133
ecological scarcity 2013,heavy metals into soil,total,0.0007189585783448921
ecological scarcity 2013,heavy metals into water,total,0.003546520651792162
ecological scarcity 2013,land use,total,0.0011178887866263897
ecological scarcity 2013,main air pollutants and PM,total,0.03934735818318731
ecological scarcity 2013,non radioactive waste to deposit,total,0.0004617134254534723
ecological scarcity 2013,ozone layer depletion,total,0.00015534754774901586
ecological scarcity 2013,pesticides into soil,total,6.412227336048971e-06
ecological scarcity 2013,radioactive substances into air,total,7.3989715888084e-09
ecological scarcity 2013,radioactive substances into water,total,0.00037676286847478487
ecological scarcity 2013,radioactive waste to deposit,total,0.03391957372322052
ecological scarcity 2013,water pollutants,total,0.005774645974618269
ecological scarcity 2013,water resources,total,0.0012425114701419757
ecological scarcity 2013 no LT,POP into water,total,0.0003760941706264867
ecological scarcity 2013 no LT,carcinogenic substances into air,total,0.009835282918894954
ecological scarcity 2013 no LT,energy resources,total,0.013255636696961616
ecological scarcity 2013 no LT,global warming,total,0.0794421099354663
ecological scarcity 2013 no LT,heavy metals into air,total,0.00784940568866654
ecological scarcity 2013 no LT,heavy metals into soil,total,0.0007189585783448921
ecological scarcity 2013 no LT,heavy metals into water,total,0.003546520651792162
ecological scarcity 2013 no LT,land use,total,0.0011178887866263897
ecological scarcity 2013 no LT,main air pollutants and PM,total,0.03892788736701416
ecological scarcity 2013 no LT,non radioactive waste to deposit,total,3.700576255694666e-05
ecological scarcity 2013 no LT,ozone layer depletion,total,0.00015533630116579288
ecological scarcity 2013 no LT,pesticides into soil,total,6.412227336048971e-06
ecological scarcity 2013 no LT,radioactive substances into air,total,2.413163196081824e-09
ecological scarcity 2013 no LT,radioactive substances into water,total,0.00037676286847478487
ecological scarcity 2013 no LT,radioactive waste to deposit,total,0.03391957372322052
ecological scarcity 2013 no LT,water pollutants,total,0.0012996195949450562
ecological scarcity 2013 no LT,water resources,total,0.0012424863787538613
ecosystem damage potential,total,"linear, land occupation",1.3203208356465072e-05
ecosystem damage potential,total,"linear, land transformation",6.641679173690028e-08
ecosystem damage potential,total,"linear, land use, total",1.3269625148201973e-05
